scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.7654,2026-04-03
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth,3332.8946,2026-04-03
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4147.8052,2026-04-03
119135,INF666M01451,,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2675.9703,2026-04-03
119136,,INF666M01469,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.2546,2026-04-03
119137,INF666M01527,INF666M01477,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1003.8513,2026-04-03
119138,INF666M01501,INF666M01485,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1005.227,2026-04-03
119139,INF666M01519,INF666M01493,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1029.533,2026-04-03
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option,29.8727,2026-04-03
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3178.6019,2026-04-03
119764,,INF174K01NH1,Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1223.0165,2026-04-03
119766,INF174K01NE8,,Kotak Liquid Fund - Direct Plan - Growth,5575.7768,2026-04-03
119800,INF200K01UT4,,SBI Liquid Fund - DIRECT PLAN -Growth,4314.3214,2026-04-03
119833,INF200K01TK5,,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,4381.5348,2026-04-03
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5011.1471,2026-04-03
120304,INF789F01XQ6,,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,4525.2713,2026-04-03
120389,INF846K01CX4,,Axis Liquid Fund - Direct Plan - Growth Option,3070.3249,2026-04-03
120537,INF205K01MF9,,Invesco India Liquid Fund - Direct Plan - Growth,3787.6757,2026-04-03
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3688.5596,2026-04-03
140194,INF754K01GY9,,Edelweiss Liquid Fund - Direct Plan - Bonus Option,2075.366,2026-04-03
140196,INF754K01GM4,,Edelweiss Liquid Fund - Direct Plan - Growth Option,3567.2602,2026-04-03
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1526.1973,2026-04-03
146140,,INF174KA1BE2,Kotak Overnight Fund-Direct Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option,1003.7454,2026-04-03
146141,INF174KA1BF9,,Kotak Overnight Fund -Direct Plan-Growth Option,1437.7059,2026-04-03
146191,INF194KB1447,,BANDHAN Overnight Fund - Direct Plan - Growth,1437.1186,2026-04-03
146675,INF846K01N65,,Axis Overnight Fund - Direct Plan - Growth Option,1426.4233,2026-04-03
146963,INF903JA1HG5,,Sundaram Overnight Fund Direct Plan - Growth,1431.185,2026-04-03
147214,INF090I01SS9,,Franklin India Overnight Fund- Growth - Direct,1405.6315,2026-04-03
147450,INF666M01GL8,,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Growth Option,1388.3585,2026-04-03
147451,INF666M01GN4,INF666M01GO2,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.8544,2026-04-03
147452,INF666M01GP9,INF666M01GQ7,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1216.5386,2026-04-03
147453,INF666M01GR5,INF666M01GS3,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1001.5023,2026-04-03
147458,,INF666M01GM6,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1001.555,2026-04-03
147515,INF767K01QI3,,LIC MF Overnight Fund-Direct Plan-Growth,1396.8217,2026-04-03
147570,INF754K01JV9,,Edelweiss Overnight Fund - Direct Plan - Growth,1393.8744,2026-04-03
147883,INF205KA1163,,Invesco India Overnight Fund - Direct Plan - Growth,1361.4669,2026-04-03
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth,1368.5533,2026-04-03
148837,INF0GCD01271,INF0GCD01289,TRUSTMF Liquid Fund-Direct Plan-Weekly Income Distribution cum Capital Withdrawal,1227.5347,2026-04-03
148839,INF0GCD01305,INF0GCD01297,TRUSTMF Liquid Fund-Direct Plan-Monthly Income Distribution cum Capital Withdrawal,1199.641,2026-04-03
148841,INF0GCD01255,,TRUSTMF Liquid Fund-Direct Plan-Growth,1335.9311,2026-04-03
148842,,INF0GCD01263,TRUSTMF Liquid Fund-Direct Plan-Daily Income Distribution cum Capital Withdrawal,1270.1266,2026-04-03
149664,INF173K01GU0,,Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Direct Plan - Growth Option,2438.4118,2026-04-03
149797,INF0GCD01453,,TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH,1274.2338,2026-04-03
150369,INF0J8L01081,,NJ Overnight Fund - Direct Plan - Growth Option,1247.0109,2026-04-03
150562,INF680P01323,,Shriram Overnight Fund -  Direct Growth,12.4439,2026-04-03
150631,INF0K1H01040,,Samco Overnight Fund - Direct Plan - Growth Option,1230.6468,2026-04-03
151833,INF0QA701011,,Bajaj Finserv Liquid Fund - Direct Plan - Growth,1204.3256,2026-04-03
151849,INF0QA701177,,Bajaj Finserv Overnight Fund - Direct Plan - Growth,1182.2678,2026-04-03
153035,INF680P01430,,Shriram Liquid Fund - Direct Plan Growth Option,1090.1938,2026-04-03
153438,INF0QA701AF0,,Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan,1056.9385,2026-04-03
153570,INF1MIY01056,,Unifi Liquid Fund- Direct Growth,1049.7003,2026-04-03
